,precision,recall,f1-score,support
REAL (0),0.9615873015873015,0.9528153507392262,0.9571812292621267,3179.0
FAKE (1),0.9433534743202417,0.953799159984727,0.9485475602809949,2619.0
accuracy,0.9532597447395653,0.9532597447395653,0.9532597447395653,0.9532597447395653
macro avg,0.9524703879537717,0.9533072553619766,0.9528643947715607,5798.0
weighted avg,0.9533509453243783,0.9532597447395653,0.9532813363574036,5798.0
