mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.054491519927978516,0.010839895487152883,0.006739997863769531,0.0006636535492156312,0.01,True,"{'alpha': 0.01, 'fit_prior': True}",0.9482535575679172,0.949732027351691,0.9476991313990021,0.9465902790611717,0.95176492330438,0.9488079837368323,0.0017917870476497444,1
0.04403214454650879,0.01604532742946973,0.007340526580810547,0.0012953798786463002,0.01,False,"{'alpha': 0.01, 'fit_prior': False}",0.9469598965071151,0.9491776011827758,0.9467750877841434,0.9456662354463131,0.9504712622435779,0.9478100166327852,0.0017516903509255603,2
0.04007854461669922,0.009188098733185756,0.008359384536743165,0.0018844011476969863,0.1,True,"{'alpha': 0.1, 'fit_prior': True}",0.9469598965071151,0.9471447052300869,0.9456662354463131,0.9447421918314545,0.948438366290889,0.9465902790611717,0.0012750462621075752,3
0.030056285858154296,0.0036311223530334025,0.006667900085449219,0.0013615336662262316,0.1,False,"{'alpha': 0.1, 'fit_prior': False}",0.9447421918314545,0.9473295139530585,0.9445573831084827,0.9440029569395676,0.9486231750138606,0.9458510441692848,0.001799395519443784,4
0.044277381896972653,0.012173942496722531,0.009189796447753907,0.0017030667265297938,0.5,True,"{'alpha': 0.5, 'fit_prior': True}",0.9445573831084827,0.943078913324709,0.9423396784328221,0.9421548697098503,0.9452966180003696,0.9434854925152468,0.0012391834865451766,5
0.03606295585632324,0.00395520451955068,0.008839130401611328,0.002443095257202785,0.5,False,"{'alpha': 0.5, 'fit_prior': False}",0.9421548697098503,0.9445573831084827,0.9423396784328221,0.9412308260949916,0.9464054703382,0.9433376455368693,0.0018832362525015088,6
0.03220243453979492,0.003058744142822081,0.007046175003051758,0.0013619676087035485,1.0,True,"{'alpha': 1.0, 'fit_prior': True}",0.9425244871557937,0.9412308260949916,0.9404915912031048,0.9412308260949916,0.9441877656625393,0.9419330992422841,0.0013036549316982784,7
0.0264801025390625,0.002156736873403552,0.006268978118896484,0.0005440451818894436,1.0,False,"{'alpha': 1.0, 'fit_prior': False}",0.9412308260949916,0.9428941046017372,0.9406763999260765,0.9397523563112179,0.9447421918314545,0.9418591757530954,0.00176721982448818,8
0.03622503280639648,0.009460776667782722,0.008537912368774414,0.0018067766697448173,2.0,True,"{'alpha': 2.0, 'fit_prior': True}",0.9406763999260765,0.9406763999260765,0.9397523563112179,0.9403067824801331,0.9425244871557937,0.9407872851598595,0.0009321397311342291,9
0.026757001876831055,0.0054803462184468375,0.0057274818420410155,0.0018280196952827146,2.0,False,"{'alpha': 2.0, 'fit_prior': False}",0.9406763999260765,0.9416004435409351,0.9386435039733876,0.9379042690815006,0.9423396784328221,0.9402328589909444,0.0017002402513398736,10
