,precision,recall,f1-score,support
REAL (0),0.9874725963044159,0.9918213274614659,0.9896421845574388,3179.0
FAKE (1),0.9900191938579654,0.9847269950362734,0.9873660030627871,2619.0
accuracy,0.9886167644015178,0.9886167644015178,0.9886167644015178,0.9886167644015178
macro avg,0.9887458950811907,0.9882741612488697,0.988504093810113,5798.0
weighted avg,0.9886229134815022,0.9886167644015178,0.9886140163383128,5798.0
