C,gamma,val_f1_weighted,val_accuracy,time_seconds
10.0,scale,0.9397223069880988,0.94,1.1151983737945557
1.0,scale,0.932033639338824,0.9325,1.2698650360107422
0.1,scale,0.3874071082390953,0.5475,1.3528268337249756
0.1,auto,0.3874071082390953,0.5475,1.0768928527832031
1.0,auto,0.3874071082390953,0.5475,1.0138270854949951
10.0,auto,0.3874071082390953,0.5475,1.017491102218628
