max_features,ngram_range,val_accuracy,val_f1_weighted,n_features_actual
10000,"(1, 2)",0.9515350120731286,0.9515544602565377,10000
5000,"(1, 2)",0.9465332873404623,0.9465403751254745,5000
10000,"(1, 1)",0.938254570541566,0.9382913019050709,10000
3000,"(1, 2)",0.9370472576750604,0.9370705869829157,3000
5000,"(1, 1)",0.93515005174198,0.9351770644081888,5000
3000,"(1, 1)",0.9287685408761642,0.9287905125922191,3000
