,precision,recall,f1-score,support
REAL (0),0.9715522572665429,0.9883611198490091,0.9798846093871822,3179.0
FAKE (1),0.9855694227769111,0.9648720885834288,0.9751109396102643,2619.0
accuracy,0.9777509486029665,0.9777509486029665,0.9777509486029665,0.9777509486029665
macro avg,0.9785608400217269,0.976616604216219,0.9774977744987232,5798.0
weighted avg,0.9778839158508226,0.9777509486029665,0.9777283070164081,5798.0
