,precision,recall,f1-score,support
REAL (0),0.9850140493287542,0.9924504561182762,0.988718270134754,3179.0
FAKE (1),0.9907514450867052,0.981672394043528,0.9861910241657077,2619.0
accuracy,0.9875819248016557,0.9875819248016557,0.9875819248016557,0.9875819248016557
macro avg,0.9878827472077297,0.9870614250809021,0.9874546471502308,5798.0
weighted avg,0.9876056739389772,0.9875819248016557,0.987576694213241,5798.0
