mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.40445637702941895,0.03599111876341766,0.020575428009033205,0.00973043481753857,0.1,500,lbfgs,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.960543566974247,0.963511417773533,0.9620446573150463,0.964832707904231,0.9625805496386175,0.9627025799211351,0.0014353225662633686,19
2.7176463127136232,0.2538840442124309,0.012541770935058594,0.0024914096887818527,0.1,500,saga,"{'C': 0.1, 'max_iter': 500, 'solver': 'saga'}",0.9605415386718432,0.963511417773533,0.9620446573150463,0.964832707904231,0.962766747446535,0.9627394138222376,0.0014347096655802844,17
0.4696681022644043,0.10116980524239598,0.014224815368652343,0.00476459874718099,0.1,1000,lbfgs,"{'C': 0.1, 'max_iter': 1000, 'solver': 'lbfgs'}",0.960543566974247,0.963511417773533,0.9620446573150463,0.964832707904231,0.9625805496386175,0.9627025799211351,0.0014353225662633686,19
2.340268039703369,0.4808507050475245,0.01562342643737793,0.006752397416573979,0.1,1000,saga,"{'C': 0.1, 'max_iter': 1000, 'solver': 'saga'}",0.9605415386718432,0.963511417773533,0.9620446573150463,0.964832707904231,0.962766747446535,0.9627394138222376,0.0014347096655802844,17
0.4285730361938477,0.06245454627371976,0.009737968444824219,0.0012719909384276459,0.5,500,lbfgs,"{'C': 0.5, 'max_iter': 500, 'solver': 'lbfgs'}",0.9752066950340424,0.9763148330259651,0.9757686869429814,0.9805835812587422,0.9753868552460749,0.9766521303015612,0.002002036579450326,15
1.853412961959839,0.1991639136965874,0.009272193908691407,0.001077235113807256,0.5,500,saga,"{'C': 0.5, 'max_iter': 500, 'solver': 'saga'}",0.9753911732307686,0.9764993465848802,0.9757697102332563,0.9807681103274551,0.9755724709662124,0.9768001622685144,0.0020193766024778678,13
0.41611762046813966,0.058755390601137235,0.01536421775817871,0.011358839874671794,0.5,1000,lbfgs,"{'C': 0.5, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9752066950340424,0.9763148330259651,0.9757686869429814,0.9805835812587422,0.9753868552460749,0.9766521303015612,0.002002036579450326,15
1.9576077461242676,0.274155414814195,0.013007211685180663,0.005557988227868003,0.5,1000,saga,"{'C': 0.5, 'max_iter': 1000, 'solver': 'saga'}",0.9753911732307686,0.9764993465848802,0.9757697102332563,0.9807681103274551,0.9755724709662124,0.9768001622685144,0.0020193766024778678,13
0.47432312965393064,0.06546449357513402,0.009518003463745118,0.0023404700956509146,1.0,500,lbfgs,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.9794671830780114,0.9796482670668364,0.9796569172331981,0.9833570185526055,0.9787217798349577,0.9801702331531217,0.001629959473990382,9
1.9047719955444335,0.172913063912153,0.008323240280151366,0.0008464957743576293,1.0,500,saga,"{'C': 1.0, 'max_iter': 500, 'solver': 'saga'}",0.9789108817040618,0.9796482670668364,0.9794715574684988,0.9829871745204413,0.979091835837828,0.9800219433195332,0.0015056369046078117,11
0.44241886138916015,0.05861419618605471,0.009580564498901368,0.00142637918310897,1.0,1000,lbfgs,"{'C': 1.0, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9794671830780114,0.9796482670668364,0.9796569172331981,0.9833570185526055,0.9787217798349577,0.9801702331531217,0.001629959473990382,9
1.8475053787231446,0.2002955558450653,0.009153938293457032,0.0008866563613655375,1.0,1000,saga,"{'C': 1.0, 'max_iter': 1000, 'solver': 'saga'}",0.9789108817040618,0.9796482670668364,0.9794715574684988,0.9829871745204413,0.979091835837828,0.9800219433195332,0.0015056369046078117,11
